foid,flid,oid,height,width,ocr
560,120,3,92.922088623047,85.307861328125,
561,120,3,66.2998046875,125.77857971191,
562,120,3,59.507385253906,119.74296569824,
563,120,3,86.665435791016,80.139434814453,
564,120,18,27.230819702148,78.042572021484,
565,120,43,79.60205078125,188.82606506348,
566,120,43,86.386352539062,192.01275634766,
567,120,69,33.288513183594,116.15159606934,
568,120,69,39.666656494141,141.0075378418,
569,120,69,35.150054931641,121.39372253418,
570,120,70,118.21264648438,84.839996337891,
571,121,3,98.247604370117,84.031951904297,
572,121,18,24.345153808594,105.84463500977,
573,121,18,25.311889648438,102.10543823242,
574,121,43,55.988128662109,163.84844970703,
575,121,69,68.144897460938,102.68127441406,
576,121,69,42.535064697266,144.15542602539,
577,121,70,135.54284667969,111.87387084961,
578,121,99,34.067779541016,43.768737792969,
579,122,3,106.52473449707,85.841110229492,
580,122,3,119.84350585938,81.861862182617,
581,122,18,23.003631591797,108.10284423828,
582,122,18,26.257278442383,114.53042602539,
583,122,69,40.500030517578,138.96952819824,
584,122,70,68.789825439453,76.497650146484,
585,122,99,37.483062744141,37.157165527344,
586,122,99,33.505523681641,39.871490478516,
587,123,3,100.27537536621,82.618499755859,
588,123,3,101.10153198242,89.487548828125,
589,123,3,99.314849853516,92.637237548828,
590,123,18,24.962493896484,101.21875,
591,123,18,25.039505004883,96.668609619141,
592,123,69,37.688446044922,142.14309692383,
593,123,69,40.022979736328,139.95156860352,
594,123,69,40.146789550781,132.95161437988,
595,123,70,148.67669677734,105.68078613281,
596,123,70,162.79122924805,101.65704345703,
597,123,70,130.69006347656,108.18499755859,
598,123,99,32.683349609375,35.096618652344,
599,123,99,36.580963134766,38.252380371094,
600,124,3,117.36148071289,83.096786499023,
601,124,3,92.054260253906,88.952926635742,
602,124,3,106.88088989258,87.272674560547,
603,124,3,103.17361450195,88.447463989258,
604,124,69,40.954833984375,127.66690063477,
605,124,69,41.716430664062,139.50950622559,
606,124,70,129.88107299805,113.73477172852,
607,124,99,43.776916503906,37.719024658203,
608,125,3,101.57327270508,85.24626159668,
609,125,3,103.07766723633,85.116256713867,
610,125,18,22.532775878906,110.84323120117,
611,125,18,24.307693481445,107.45556640625,
612,125,69,39.673248291016,140.87307739258,
613,125,69,45.135772705078,144.12016296387,
614,125,69,68.601379394531,102.51371765137,
615,125,69,60.922790527344,92.599624633789,
616,125,70,145.94091796875,114.82806396484,
617,125,70,73.008850097656,78.778900146484,
618,125,70,68.078750610352,74.396789550781,
619,125,99,37.029449462891,35.695816040039,
620,125,99,37.711151123047,42.896957397461,
621,126,3,109.51574707031,97.176803588867,
622,126,3,100.44378662109,97.442520141602,
623,126,69,104.96389770508,142.92753601074,
624,127,21,143.45748901367,374.11865234375,
625,128,13,175.22430419922,196.47946166992,
626,128,13,251.92150878906,190.8596496582,
627,128,13,153.76141357422,188.82635498047,
628,129,13,87.563629150391,101.27752685547,
629,130,13,83.057647705078,115.86166381836,
630,131,13,95.682312011719,111.41854858398,
631,131,13,79.659622192383,117.6706237793,
632,132,13,184.26629638672,191.88598632812,
633,133,73,87.609924316406,133.1979675293,
634,133,73,109.82797241211,154.35403442383,
635,133,73,121.74728393555,126.56784057617,
636,134,73,131.47085571289,166.69799804688,
637,135,99,25.010437011719,17.686676025391,
638,135,99,24.425354003906,22.572998046875,
639,135,99,31.786209106445,17.978515625,
640,136,73,97.360076904297,133.91412353516,
641,137,73,75.902191162109,114.56448364258,
642,137,73,79.560394287109,86.367218017578,
643,137,73,85.27197265625,110.71298217773,
644,137,73,79.61474609375,96.907012939453,
645,138,99,25.053726196289,15.416412353516,
646,139,21,146.11462402344,293.97326660156,
647,140,96,56.079650878906,69.737762451172,
648,141,72,155.12213134766,269.65591430664,
649,141,72,172.3723449707,280.92544555664,
650,142,46,181.71691894531,223.88034057617,
651,143,71,65.582397460938,377.08850097656,
652,144,72,157.27694702148,293.14151000977,
653,145,90,41.541870117188,63.19123840332,
654,146,46,234.25631713867,187.24603271484,
655,147,71,63.910278320312,386.65521240234,
656,148,3,111.61741638184,92.893569946289,
657,148,3,111.51867675781,83.757904052734,
658,148,69,50.938018798828,132.93133544922,
659,148,69,47.762420654297,134.12162780762,
